Id_UT	Toponimo	Comune	Tav_IGM	Masl	Tipologia_UT	Tipologia_Sito	Descrizione	X	Y	Compilatore	Responsabile	m x m	Ha	Latitudine	Longitudine	Anomalia
R1	Contrada Palma	Ramacca	F. 269  III  NE	82	Area di frammenti	n.d.	Contrada Palma è situata immediatamente a N del corso del fiume Gornalunga: l’area è densamente coltivata, solo in parte come agrumeto. Lo sfruttamento agricolo intensivo ha modificato profondamente il paesaggio locale: in particolare, questo settore di Contrada Palma è stato profondamente modificato dalla costruzione di due bacini artificiali. L'area di frammenti fittili (m 5 x 5) è stata individuata in un agrumeto di recente piantumazione: la distribuzione dei reperti risultava omogenea nell’intero areale. I materiali rinvenuti consistono in frammenti di tegole riconducibili a età romana, rozza terracotta e ceramica fine da mensa (Sigillata D). Precedenti ricognizioni condotte nell’area da E. Procelli avevano in passato documentato la presenza a Contrada Palma di ceramica preistorica. Si segnalano i resti di un selciato stradale, realizzato in basole di forma rettangolare, probabilmente di età borbonica	473476	4141868	Laureanti 2007		5 x 5	0.0025	37.423244	14.700228	GOOGLE MAPS
R100	Poggio Callura 	Palagonia	F. 269 II SO	58	Area di frammenti	n.d.	Poggio Callura è una bassa collina ubicata in una vasta area compresa tra la SS 417 a N e la SP 74  a S. La sommità del poggio è incolta e la ricognizione non ha identificato elementi di interesse. Un'area di frammenti (m 250 x 200) è stata identificata nell'agrumeto che si estende ai piedi del versante orientale del poggio: i materiali sono distribuiti nell'area in maniera disomogea, concentrati lungo i lati E e S dell'agrumeto, forse perchè prodotti del dilavamento dalla collina. I materiali rinvenuti durante la ricognizione sembrano attestare un'occupazione del sito già nel Neolitico, come è testimoniato dalla presenza di un frammento di ceramica a decorazione incisa, riconducibile alla cultura di Stentinello e di industria litica in selce e quarzite; la presenza di frammenti attribuibili alla facies di Castelluccio indica una nuova frequentazione dell'area nel Bronzo Antico	483054	4136515	Privitera 2003		250 x 200	0.9	37.375218	14.8086	
R101	Poggio Sciccaria	Palagonia	F. 269 II SO	77	Area di frammenti	n.d.	Poggio Sciccaria è una bassa collina (m 101 metri slm), ca m 400 a S della SS 417. Al momento della ricognizione la sommità del poggio era priva di coltivazioni, mentre il terreno circostante era occupato da agrumeti. L'area di frammenti fittili (m 30 x 30) si estende all'interno di un agrumeto, situato ai piedi del versante SE della collina: sono stati rinvenuti 17 frammenti attribuibili alla facies di Castelluccio, tra i quali l'orlo di un grosso pithos, cinque frammenti della vasca e uno del piede di bacini su alto piede e alcune schegge di selce: si segnala, inoltre la presenza di quattro frammenti di macine di pietra lavica. Ricerche condotte negli anni Settanta del secolo scorso (Recami, Mignosa, Baldini 1982-1983, p. 43) avevano segnalava il rinvenimento nell'area di frammenti neolitici delle facies di Diana e di Castelluccio	482392	4136380	Privitera 2003		30 x 30	0.09	37.374031	14.823631	
R102	Contrada Callura I	Palagonia	F. 269 II SO	44	Area di frammenti	n.d.	La Contrada Callura è situata a ca. m 700 a S della SS 417, ed è accessibile dalla SP 74: essa consiste in un ampia area pianeggiante nella quale prevale la coltivazione di agrume, delimitata a S dal canale della bonifica Callura. L'area oggetto della ricognizione si estende a E della SP 74, ed è tagliata in senso SE-NO da una strada sterrata senza uscita che delimita le proprietà. Nel corso della ricognizione sono state individuate 3 aree di interesse. L'area di frammenti R102 (m 40 x 40) è situata nell'agrumeto in proprietà Re, a S della strada sterrata: nonostante la scarsa visibilità, è stato possibile documentare l'abbondante presenza di frammenti distribuiti in maniera omogenea. Il materiale rinvenuto indica il lungo arco cronologico entro il quale l'area è stata frequentata. Si segnala la presenza di materiale preistorico, databile al Bronzo antico e medio; il rinvenimento di ceramica della facies del Finocchito e di Licodia Eubea parrebbe testimoniare l'esistenza di un insediamento anche nell'età del Ferro, la cui vita si protrasse nei secoli VI-III a.C., come indica la ceramica a vernice nera; la presenza di frammenti di Sigillata Italica e Sigillata Africana D è evidente prova della persistenza attività di un sito rurale anche in età imperiale, probabilmente in rapporto con la vicina l'UT R103	484390	4136379	Privitera 2003		40 x 40	0.14	37.374016	14.823693	
R103	Contrada Callura II	Palagonia	F. 269 II SO	43	Area di frammenti	Fattoria	L'area di frammenti fittili è situata in Contrada Callura (vedi scheda UT R102). L'area oggetto della ricognizione si estende a E della SP 74, ed è tagliata in senso SE-NO da una strada sterrata senza uscita che delimita le proprietà. A N della strada, nell'agrumeto di proprietà Pirracchio, è stata individuata un'ampia area di frammenti (m 100 x 80) che si distribuivano in maniera omogenea: insieme al numero notevole di frammenti di tegole, si segnala la presenza di frammenti pertinenti a un lungo arco cronologico. I numerosi frammenti di ceramica a venirce nera, di ceramica comune e di anfore databili tra V e III sec. a.C. fanno ipotizzare l'esistenza di una fattoria attiva tra l'età classica e l'età ellenistica; la presenza di un frammento di Sigillata Orientale A e di frammenti di Sigillata italica suggerisce che la vita nel sito proseguì in età repubblicana. Abbondante è la documentazione per l'età imperiale: infatti, i materiali rinvenuti durante la ricognizione indicano la persistente attività di una fattoria di grandi dimensioni la cui attività è databile ininterrottamente dal I al VI sec. d.C., con una fase di massima espansione nella tarda antichità	484285	4136634	Privitera 2003		100 x 80	0.8	37.376318	14.822508	
R104	Contrada Callura III	Palagonia	F. 269 II SO	42	Area di frammenti	n.d.	L'area di frammenti fittili è situata in Contrada Callura (vedi scheda UT R102). L'area oggetto della ricognizione si estende a E della SP 74, ed è tagliata in senso SE-NO da una strada sterrata senza uscita che delimita le proprietà. L'area di frammenti è stata identificata a ca m 250 a NE dall'UT 103,  compresa in un agrumeto. La ricognizione ha messo in luce un'area di frammenti (m 20 x 35) costituita per la maggior parte da ceramica comune riconducibile alle fasi post-classiche; si segnala la presenza di un frammento di Sigillata Africana D	484470	4136796	Privitera 2003		20 x 35	0.85	37.377776	14.824594	
R105	Poggio Tecchio	Palagonia	F. 269 II SO	42	Area di frammenti	Frequentazione	Poggio Tecchio è una bassa collina (m 77 slm) situata a SE della SP 74, raggiungibile da una strada sterrata. L'intera area circostante è densamente coltivata ad agrumeto, e tale elemento ha ostacolato la ricerca sul campo: le ricognizioni ripetute in periodi diversi dell'anno non hanno evidenziato la presenza di aree di interesse se non sul fianco NE della bassa altura. L'area di frammenti (m 5 x 5) è situata all'interno di un agrumeto: i rari frammenti sono distribuiti nell'area in maniera non omogenea; tra i reperti si segnala la presenza di un'ansa di rozza terracotta, della quale non è stato possibile identificare la forma originaria, e di un frammento di Sigillata Africana D 	484394	4135529	Privitera 2003		5 x 5	0.0025	37.366359	14.823757	
R106	Poggio Raffo	Palagonia	F. 269 II SO	146	Area di frammenti	n.d.	Poggio Raffo è una collina che raggiunge l'altezza massima di  m 216 metri slm situata a NE di Palagonia. Dall'area provengono materiali sporadici in deposito nei magazzini del Museo Civico di Ramacca: consistono in frammenti di selce e di rozza terracotta (IV-V sec. d.C.) di cui non è possibile ricostruire la forma originaria. Dalla ricognizione condotta nell'area della collina (ha 20) e delle sue immediate dipendenze, spesso difficoltosa perché il terreno presenta una fitta vegetazione, non sono emersi elementi nuovi, per cui si può solo ipotizzare una frequentazione del sito in età preistorica, documentata dalle tracce di lavorazione della selce, e una presenza nella tarda antichità	479677	4133113	Privitera 2003				37.344485	14.770551	
R107	Contrada Trefontane	Palagonia	F. 269 II SO	144	Area di frammenti	n.d.	L'area di frammenti fittili  (m 30 x 30) è situata in Contrada Trefontane, a E del centro di Palagonia. La ricognizione dell'area è difficoltosa a causa dell'estensiva coltivazione ad agrumeto. L'area di frammenti (m 40 x 30) è stata individuata in un terreno incolto (ha 2,27) situato a N della SS 385, che ne costituisce uno dei limiti. Il materiale rinvenuto è costituito da alcuni frammenti di rozza terracotta di cui non è stato possibile ricostruire le forme originarie, da frammenti di vetro, da molti frammenti di ceramica invetriata e da frammenti di marmo con tracce di decorazione (cordoni paralleli in rilievo). Pertanto si può ipotizzare che l'area sia stata sede di un insediamento di età tardo - imperiale e medievale. Il ritrovamento di materiale medievale potrebbe essere messo in relazione con la notizia dell'esistenza nel XII secolo in questa contrada di un casale e di una chiesa (Pirri 1733, I, p. 622; Amico 1858-1859, p. 241; Massa 1709, II, p. 253), della quale rimangono i resti di una colonna oggi inglobata in una proprietà privata 	479939	4132199	Privitera 2003		40 x 30	0.09	37.336261	14.773545	
R108	Poggio Fiumefreddo	Lentini	F. 269 II SO	127	Area di frammenti	n.d.	Poggio Fiumefreddo (m 174 slm) sorge nell'area delimitata a O e a N dal vallone omonimo, a S dalla SS 385: la sommità è (ha 3,6 ) accessibile solo dal versante meridionale, data l'asperità delle altre pareti. L'altura si trova in una posizione che permette di controllare il corso del fiume Fiumefreddo che scorre a N e quindi la Piana di Catania. La ricognizione dell'intera area ha evidenziato due aree di concentrazione di frammenti, rispettivamente in corrispondenza del pendio settentrionale (R107a: 482937, 4132173) e sul settore SO del pianoro sommitale (R107b: 482687, 4131878). I frammenti rinvenuti ai piedi del versante settentrionali del colle (R107a) si estendono lungo una fascia di m 3 x 7): a causa della pessima visibilità e alla recente costruzione di un bacino di irrigazione non è possibile individuare la totale estensione dell'areale; la ceramica è attribuibile alla facies di Castelluccio, forse pertinenti a un insediamento situato sul colle, e quindi oggi a valle per il dilavamento del terreno. Sulla sommità del poggio, a SO, in un pianoro incolto, nonostante la visibilità non eccellente è stata identificata un'ampia area di frammenti (R107b) in gran parte concentrati lungo il pendio meridioanale scosceso (m 100 x 30). Il materiale rinvenuto attesta la presenza di un abitato preistorico inquadrabile in un arco cronologico che va dall'Eneolitoco al Bronzo antico (facies di Castelluccio), al Bronzo Medio (facies di Thapsos): la frequentazione del sito in età preistorica è attestata anche dai numerosi manufatti litici e schegge (selce e quarzarenite). Un insediamento sul pianoro si installa nell'età del ferro, come attesta la presenza di numerosi frammenti di ceramica indigena attribuibili alla facies di Licodia Eubea che datano a partire dall'VIII sec. a.C. fino all'età arcaica: notevole è la presenza di materiali greci di importazione come indicano i frammenti di ceramica protocorinzia e di anfore SOS, testimonianze dell'importazione di prodotti agricoli di pregio come l'olio. Dopo un apparente iato,  l'insediamento torna attivo tra IV e III secolo, come attestato da frammenti di ceramica a vernice nera e di ceramica comune. Ai margini del versante SO del pianoro, nei pressi dell'area di frammenti R107b, sono stati identificati tratti di muri, identificati come possibli mura di fortificazione: il tratto meglio preservato, con un andamento EO, è disposto a L, si conserva per una lunghezza totale di m 32,70 (h m 1,35, spessore m 0,70). L'osservazione dell'opera - blocchi sbozzati (m 0,60 x 40 x 35) e disposti in filari sovrapposti - in condizioni di scarsa visibilità non rende possibile proporre una cronologia della struttura; la disposizione dei filari lungo le isoipse in corrispondenza dei dislivelli del poggio sembrano indicarne la natura di mura di terrazzamento	482687	4131878	Privitera 2003		100 x 30	0.03	37.33342	14.804564	
